,US,Germany,Italy,Russia,Iran,Spain,France,United Kingdom,Brazil
133,3497847.0,199919.0,241611,,248379.0,255953.0,208015.0,291691.0,
134,,200180.0,241819,,250458.0,256619.0,209640.0,292931.0,
135,,200456.0,241956,,252720.0,257494.0,209640.0,293469.0,
136,,200890.0,242149,,255117.0,,210568.0,,
137,,,242363,,257303.0,,,,
138,,,242639,,259652.0,,,,
139,,,242827,,262173.0,,,,
140,,,243061,,264561.0,,,,
141,,,243230,,,,,,
142,,,243344,,,,,,
143,,,243506,,,,,,
